county_fips,county,year,office,district,party,candidate,votes,total_votes
55001,ADAMS,2000,CONGRESS,6,DEMOCRATIC,DAN FLAHERTY,3293,8486
55001,ADAMS,2000,CONGRESS,6,REPUBLICAN,TOM PETRI,5176,8486
55001,ADAMS,2000,CONGRESS,6,SCATTERING,SCATTERING,17,8486
55001,ADAMS,2000,PRESIDENT,0,CONSTITUTION,H PHILLIPS / J C FRAZIER,25,9116
55001,ADAMS,2000,PRESIDENT,0,DEMOCRATIC,AL GORE / JOE LIEBERMAN,4826,9116
55001,ADAMS,2000,PRESIDENT,0,INDEPENDENT,M MOOREHEAD / GLORIA LA RIVA,7,9116
55001,ADAMS,2000,PRESIDENT,0,INDEPENDENT 2,JAMES HARRIS / M TROWE,2,9116
55001,ADAMS,2000,PRESIDENT,0,INDEPENDENT 3,JOHN HAGELIN / NAT GOLDHABER,8,9116
55001,ADAMS,2000,PRESIDENT,0,INDEPENDENT 4,PAT BUCHANAN / EZOLA FOSTER,77,9116
55001,ADAMS,2000,PRESIDENT,0,LIBERTARIAN,HARRY BROWNE / ART OLIVIER,24,9116
55001,ADAMS,2000,PRESIDENT,0,REPUBLICAN,GEORGE BUSH / DICK CHENEY,3920,9116
55001,ADAMS,2000,PRESIDENT,0,SCATTERING,SCATTERING,10,9116
55001,ADAMS,2000,PRESIDENT,0,WISCONSIN GREEN,RALPH NADER / WINONA LA DUKE,217,9116
55001,ADAMS,2000,US SENATE,0,CONSTITUTION,ROBERT R RAYMOND,14,8874
55001,ADAMS,2000,US SENATE,0,DEMOCRATIC,HERBERT H KOHL,5752,8874
55001,ADAMS,2000,US SENATE,0,INDEPENDENT,EUGENE A HEM,50,8874
55001,ADAMS,2000,US SENATE,0,LIBERTARIAN,TIM PETERSON,61,8874
55001,ADAMS,2000,US SENATE,0,REPUBLICAN,JOHN GILLESPIE,2994,8874
55001,ADAMS,2000,US SENATE,0,SCATTERING,SCATTERING,3,8874
55001,ADAMS,2002,CONGRESS,6,REPUBLICAN,TOM PETRI,4655,4684
55001,ADAMS,2002,CONGRESS,6,SCATTERING,SCATTERING,29,4684
55001,ADAMS,2002,GOVERNOR,0,DEMOCRATIC,JIM DOYLE / BARBARA LAWTON,3160,6844
55001,ADAMS,2002,GOVERNOR,0,INDEPENDENT,ALAN D EISENBERG,11,6844
55001,ADAMS,2002,GOVERNOR,0,INDEPENDENT 2,TY A BOLLERUD,11,6844
55001,ADAMS,2002,GOVERNOR,0,INDEPENDENT 3,MIKE MANGAN,6,6844
55001,ADAMS,2002,GOVERNOR,0,INDEPENDENT 4,ANEB JAB RASTA,1,6844
55001,ADAMS,2002,GOVERNOR,0,LIBERTARIAN,ED THOMPSON / M REYNOLDS,1355,6844
55001,ADAMS,2002,GOVERNOR,0,REPUBLICAN,SCOTT MCCALLUM / MARGARET A FARROW,2168,6844
55001,ADAMS,2002,GOVERNOR,0,SCATTERING,SCATTERING,2,6844
55001,ADAMS,2002,GOVERNOR,0,WISCONSIN GREEN,JIM YOUNG / JEFF PETERSON,130,6844
55001,ADAMS,2004,CONGRESS,6,DEMOCRATIC,JEFF HALL,3999,10176
55001,ADAMS,2004,CONGRESS,6,REPUBLICAN,TOM PETRI,5874,10176
55001,ADAMS,2004,CONGRESS,6,SCATTERING,SCATTERING,1,10176
55001,ADAMS,2004,CONGRESS,6,WISCONSIN GREEN,CAROL ANN RITTENHOUSE,302,10176
55001,ADAMS,2004,PRESIDENT,0,DEMOCRATIC,JOHN F KERRY / JOHN EDWARDS,5447,10456
55001,ADAMS,2004,PRESIDENT,0,INDEPENDENT,RALPH NADER / PETER MIGUEL CAMEJO,79,10456
55001,ADAMS,2004,PRESIDENT,0,INDEPENDENT 2,JAMES HARRIS / MARGARET TROWE,2,10456
55001,ADAMS,2004,PRESIDENT,0,INDEPENDENT 3,WALTER F BROWN / MARY ALICE HERBERT,2,10456
55001,ADAMS,2004,PRESIDENT,0,LIBERTARIAN,MICHAEL BADNARIK / RICHARD V CAMPAGNA,10,10456
55001,ADAMS,2004,PRESIDENT,0,REPUBLICAN,GEORGE W BUSH / DICK CHENEY,4890,10456
55001,ADAMS,2004,PRESIDENT,0,SCATTERING,SCATTERING,16,10456
55001,ADAMS,2004,PRESIDENT,0,WISCONSIN GREEN,DAVID COBB / PATRICIA LA MARCHE,10,10456
55001,ADAMS,2004,US SENATE,0,DEMOCRATIC,RUSS FEINGOLD,5765,10350
55001,ADAMS,2004,US SENATE,0,INDEPENDENT,EUGENE A HEM,56,10350
55001,ADAMS,2004,US SENATE,0,LIBERTARIAN,ARIF KHAN,24,10350
55001,ADAMS,2004,US SENATE,0,REPUBLICAN,TIM MICHELS,4505,10350
55001,ADAMS,2004,US SENATE,0,SCATTERING,SCATTERING,0,10350
55001,ADAMS,2006,CONGRESS,6,REPUBLICAN,TOM PETRI,4593,4624
55001,ADAMS,2006,CONGRESS,6,SCATTERING,SCATTERING,31,4624
55001,ADAMS,2006,GOVERNOR,0,DEMOCRATIC,JIM DOYLE / BARBARA C LAWTON,4416,7899
55001,ADAMS,2006,GOVERNOR,0,REPUBLICAN,MARK GREEN / JEAN HUNDERTMARK,3324,7899
55001,ADAMS,2006,GOVERNOR,0,SCATTERING,SCATTERING,9,7899
55001,ADAMS,2006,GOVERNOR,0,WISCONSIN GREEN,NELSON EISMAN / LEON TODD,150,7899
55001,ADAMS,2006,US SENATE,0,DEMOCRATIC,HERB KOHL,5635,7762
55001,ADAMS,2006,US SENATE,0,INDEPENDENT,BEN J GLATZEL,65,7762
55001,ADAMS,2006,US SENATE,0,REPUBLICAN,ROBERT GERALD LORGE,1979,7762
55001,ADAMS,2006,US SENATE,0,SCATTERING,SCATTERING,0,7762
55001,ADAMS,2006,US SENATE,0,WISCONSIN GREEN,RAE VOGELER,83,7762
55001,ADAMS,2008,CONGRESS,6,DEMOCRATIC,ROGER A KITTELSON,4636,9480
55001,ADAMS,2008,CONGRESS,6,REPUBLICAN,TOM PETRI,4840,9480
55001,ADAMS,2008,CONGRESS,6,SCATTERING,SCATTERING,4,9480
55001,ADAMS,2008,PRESIDENT,0,DEMOCRATIC,BARACK OBAMA / JOE BIDEN,5806,9986
55001,ADAMS,2008,PRESIDENT,0,INDEPENDENT,BRIAN MOORE / STEWARD A ALEXANDER,0,9986
55001,ADAMS,2008,PRESIDENT,0,INDEPENDENT 2,GLORIA LA RIVA / ROBERT MOSES,0,9986
55001,ADAMS,2008,PRESIDENT,0,INDEPENDENT 3,RALPH NADER / MATT GONZALEZ,76,9986
55001,ADAMS,2008,PRESIDENT,0,INDEPENDENT 4,CHUCK BALDWIN / DARRELL L CASTLE,43,9986
55001,ADAMS,2008,PRESIDENT,0,INDEPENDENT 5,JEFFREY J WAMBOLDT / DAVID J KLIMISCH,6,9986
55001,ADAMS,2008,PRESIDENT,0,LIBERTARIAN,BOB BARR / WAYNE A ROOT,27,9986
55001,ADAMS,2008,PRESIDENT,0,REPUBLICAN,JOHN MCCAIN / SARAH PALIN,3974,9986
55001,ADAMS,2008,PRESIDENT,0,SCATTERING,SCATTERING,38,9986
55001,ADAMS,2008,PRESIDENT,0,WISCONSIN GREEN,CYNTHIA MCKINNEY / ROSA CLEMENTE,16,9986
55001,ADAMS,2010,CONGRESS,6,DEMOCRATIC,JOSEPH C KALLAS,2858,6971
55001,ADAMS,2010,CONGRESS,6,REPUBLICAN,TOM PETRI,4111,6971
55001,ADAMS,2010,CONGRESS,6,SCATTERING,SCATTERING,2,6971
55001,ADAMS,2010,GOVERNOR,0,DEMOCRATIC,TOM BARRETT / TOM NELSON,3298,7170
55001,ADAMS,2010,GOVERNOR,0,INDEPENDENT,JAMES JAMES,44,7170
55001,ADAMS,2010,GOVERNOR,0,INDEPENDENT 2,JIM LANGER,48,7170
55001,ADAMS,2010,GOVERNOR,0,LIBERTARIAN,TERRY VIRGIL,27,7170
55001,ADAMS,2010,GOVERNOR,0,REPUBLICAN,SCOTT WALKER / REBECCA KLEEFISCH,3748,7170
55001,ADAMS,2010,GOVERNOR,0,SCATTERING,SCATTERING,5,7170
