county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,201
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,113
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,103
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,5
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Adams,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,152
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,92
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,11
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,77
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,2
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Big Flats,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Colburn,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,40
Adams,Colburn,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,26
Adams,Colburn,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,2
Adams,Colburn,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,12
Adams,Colburn,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Colburn,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Colburn,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Colburn,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Colburn,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,184
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,148
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,13
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,113
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,1
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Dell Prairie,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Adams,Easton,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,151
Adams,Easton,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,99
