municipality_name,reporting_unit_name,county,district,party,votes,candidate,municipality_type
Brighton,Wards 1 - 3,Kenosha County,1,Democratic,162,Jeffrey Chapman Thomas,T
Brighton,Wards 1 - 3,Kenosha County,1,Republican,651,Paul Ryan,T
Brighton,Wards 1 - 3,Kenosha County,1,Libertarian,9,Don Bernau,T
Brighton,Wards 1 - 3,Kenosha County,1,Independent,7,Norman Aulabaugh,T
Brighton,Wards 1 - 3,Kenosha County,1,Scattering,0,Scattering,T
Bristol,Wards 1 - 4 & 8,Kenosha County,1,Democratic,304,Jeffrey Chapman Thomas,T
Bristol,Wards 1 - 4 & 8,Kenosha County,1,Republican,"1,081",Paul Ryan,T
Bristol,Wards 1 - 4 & 8,Kenosha County,1,Libertarian,12,Don Bernau,T
Bristol,Wards 1 - 4 & 8,Kenosha County,1,Independent,21,Norman Aulabaugh,T
Bristol,Wards 1 - 4 & 8,Kenosha County,1,Scattering,2,Scattering,T
Bristol,Wards 5 & 7,Kenosha County,1,Democratic,184,Jeffrey Chapman Thomas,T
Bristol,Wards 5 & 7,Kenosha County,1,Republican,400,Paul Ryan,T
Bristol,Wards 5 & 7,Kenosha County,1,Libertarian,8,Don Bernau,T
Bristol,Wards 5 & 7,Kenosha County,1,Independent,5,Norman Aulabaugh,T
Bristol,Wards 5 & 7,Kenosha County,1,Scattering,0,Scattering,T
Bristol,Ward 6,Kenosha County,1,Democratic,134,Jeffrey Chapman Thomas,T
Bristol,Ward 6,Kenosha County,1,Republican,438,Paul Ryan,T
Bristol,Ward 6,Kenosha County,1,Libertarian,2,Don Bernau,T
Bristol,Ward 6,Kenosha County,1,Independent,5,Norman Aulabaugh,T
Bristol,Ward 6,Kenosha County,1,Scattering,0,Scattering,T
Paris,Wards 1 & 2,Kenosha County,1,Democratic,237,Jeffrey Chapman Thomas,T
Paris,Wards 1 & 2,Kenosha County,1,Republican,698,Paul Ryan,T
Paris,Wards 1 & 2,Kenosha County,1,Libertarian,6,Don Bernau,T
Paris,Wards 1 & 2,Kenosha County,1,Independent,14,Norman Aulabaugh,T
Paris,Wards 1 & 2,Kenosha County,1,Scattering,1,Scattering,T
Randall,Wards 1 - 5,Kenosha County,1,Democratic,407,Jeffrey Chapman Thomas,T
Randall,Wards 1 - 5,Kenosha County,1,Republican,"1,144",Paul Ryan,T
Randall,Wards 1 - 5,Kenosha County,1,Libertarian,14,Don Bernau,T
Randall,Wards 1 - 5,Kenosha County,1,Independent,31,Norman Aulabaugh,T
Randall,Wards 1 - 5,Kenosha County,1,Scattering,0,Scattering,T
Salem,Wards 1 - 15,Kenosha County,1,Democratic,"1,266",Jeffrey Chapman Thomas,T
Salem,Wards 1 - 15,Kenosha County,1,Republican,"3,130",Paul Ryan,T
Salem,Wards 1 - 15,Kenosha County,1,Libertarian,63,Don Bernau,T
Salem,Wards 1 - 15,Kenosha County,1,Independent,50,Norman Aulabaugh,T
Salem,Wards 1 - 15,Kenosha County,1,Scattering,6,Scattering,T
Somers,Wards 1 - 4,Kenosha County,1,Democratic,513,Jeffrey Chapman Thomas,T
Somers,Wards 1 - 4,Kenosha County,1,Republican,"1,115",Paul Ryan,T
Somers,Wards 1 - 4,Kenosha County,1,Libertarian,14,Don Bernau,T
Somers,Wards 1 - 4,Kenosha County,1,Independent,22,Norman Aulabaugh,T
Somers,Wards 1 - 4,Kenosha County,1,Scattering,1,Scattering,T
Somers,Wards 5 - 7 & 12,Kenosha County,1,Democratic,631,Jeffrey Chapman Thomas,T
Somers,Wards 5 - 7 & 12,Kenosha County,1,Republican,947,Paul Ryan,T
Somers,Wards 5 - 7 & 12,Kenosha County,1,Libertarian,14,Don Bernau,T
Somers,Wards 5 - 7 & 12,Kenosha County,1,Independent,16,Norman Aulabaugh,T
Somers,Wards 5 - 7 & 12,Kenosha County,1,Scattering,2,Scattering,T
Somers,Ward 8,Kenosha County,1,Democratic,129,Jeffrey Chapman Thomas,T
Somers,Ward 8,Kenosha County,1,Republican,189,Paul Ryan,T
Somers,Ward 8,Kenosha County,1,Libertarian,4,Don Bernau,T
Somers,Ward 8,Kenosha County,1,Independent,5,Norman Aulabaugh,T
Somers,Ward 8,Kenosha County,1,Scattering,0,Scattering,T
Somers,Wards 9 - 11,Kenosha County,1,Democratic,395,Jeffrey Chapman Thomas,T
Somers,Wards 9 - 11,Kenosha County,1,Republican,681,Paul Ryan,T
Somers,Wards 9 - 11,Kenosha County,1,Libertarian,5,Don Bernau,T
Somers,Wards 9 - 11,Kenosha County,1,Independent,9,Norman Aulabaugh,T
Somers,Wards 9 - 11,Kenosha County,1,Scattering,1,Scattering,T
Wheatland,Wards 1 - 5,Kenosha County,1,Democratic,423,Jeffrey Chapman Thomas,T
Wheatland,Wards 1 - 5,Kenosha County,1,Republican,"1,264",Paul Ryan,T
Wheatland,Wards 1 - 5,Kenosha County,1,Libertarian,14,Don Bernau,T
Wheatland,Wards 1 - 5,Kenosha County,1,Independent,24,Norman Aulabaugh,T
Wheatland,Wards 1 - 5,Kenosha County,1,Scattering,2,Scattering,T
Genoa City,Ward 4,Kenosha County,1,Democratic,0,Jeffrey Chapman Thomas,V
Genoa City,Ward 4,Kenosha County,1,Republican,0,Paul Ryan,V
Genoa City,Ward 4,Kenosha County,1,Libertarian,0,Don Bernau,V
Genoa City,Ward 4,Kenosha County,1,Independent,0,Norman Aulabaugh,V
Genoa City,Ward 4,Kenosha County,1,Scattering,0,Scattering,V
Paddock Lake,Wards 1 - 5,Kenosha County,1,Democratic,435,Jeffrey Chapman Thomas,V
Paddock Lake,Wards 1 - 5,Kenosha County,1,Republican,"1,024",Paul Ryan,V
Paddock Lake,Wards 1 - 5,Kenosha County,1,Libertarian,20,Don Bernau,V
Paddock Lake,Wards 1 - 5,Kenosha County,1,Independent,18,Norman Aulabaugh,V
Paddock Lake,Wards 1 - 5,Kenosha County,1,Scattering,2,Scattering,V
Pleasant Prairie,Wards 1 - 3,Kenosha County,1,Democratic,607,Jeffrey Chapman Thomas,V
