county,municipality,ctv,reporting_unit,year,office,district,wss_dist,wsa_dist,con_dist,party,candidate,votes
ADAMS,ADAMS,T,Wards 1-3,2022,governor,NA,14,41,3,Democratic,Tony Evers / Sara Rodriguez,246
ADAMS,ADAMS,T,Wards 1-3,2022,governor,NA,14,41,3,Republican,Tim Michels / Roger Roth,352
ADAMS,ADAMS,T,Wards 1-3,2022,governor,NA,14,41,3,Independent,Joan Ellis Beglinger,13
ADAMS,ADAMS,T,Wards 1-3,2022,governor,NA,14,41,3,Write-in,Seth Haskin,0
ADAMS,ADAMS,T,Wards 1-3,2022,governor,NA,14,41,3,Scattering,Scattering,1
ADAMS,BIG FLATS,T,Wards 1-2,2022,governor,NA,24,72,3,Democratic,Tony Evers / Sara Rodriguez,164
ADAMS,BIG FLATS,T,Wards 1-2,2022,governor,NA,24,72,3,Republican,Tim Michels / Roger Roth,295
ADAMS,BIG FLATS,T,Wards 1-2,2022,governor,NA,24,72,3,Independent,Joan Ellis Beglinger,10
ADAMS,BIG FLATS,T,Wards 1-2,2022,governor,NA,24,72,3,Write-in,Seth Haskin,0
ADAMS,BIG FLATS,T,Wards 1-2,2022,governor,NA,24,72,3,Scattering,Scattering,0
ADAMS,COLBURN,T,Ward 1,2022,governor,NA,24,72,3,Democratic,Tony Evers / Sara Rodriguez,42
ADAMS,COLBURN,T,Ward 1,2022,governor,NA,24,72,3,Republican,Tim Michels / Roger Roth,108
ADAMS,COLBURN,T,Ward 1,2022,governor,NA,24,72,3,Independent,Joan Ellis Beglinger,2
ADAMS,COLBURN,T,Ward 1,2022,governor,NA,24,72,3,Write-in,Seth Haskin,0
ADAMS,COLBURN,T,Ward 1,2022,governor,NA,24,72,3,Scattering,Scattering,0
ADAMS,DELL PRAIRIE,T,"Wards 1,2",2022,governor,NA,14,41,3,Democratic,Tony Evers / Sara Rodriguez,331
ADAMS,DELL PRAIRIE,T,"Wards 1,2",2022,governor,NA,14,41,3,Republican,Tim Michels / Roger Roth,460
ADAMS,DELL PRAIRIE,T,"Wards 1,2",2022,governor,NA,14,41,3,Independent,Joan Ellis Beglinger,21
ADAMS,DELL PRAIRIE,T,"Wards 1,2",2022,governor,NA,14,41,3,Write-in,Seth Haskin,0
ADAMS,DELL PRAIRIE,T,"Wards 1,2",2022,governor,NA,14,41,3,Scattering,Scattering,1
ADAMS,EASTON,T,Ward 1,2022,governor,NA,14,41,3,Democratic,Tony Evers / Sara Rodriguez,159
ADAMS,EASTON,T,Ward 1,2022,governor,NA,14,41,3,Republican,Tim Michels / Roger Roth,302
ADAMS,EASTON,T,Ward 1,2022,governor,NA,14,41,3,Independent,Joan Ellis Beglinger,7
