year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2025,APRIL,ADAMS,TOWN OF ADAMS WARDS 1-3,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,522,293
2025,APRIL,ADAMS,TOWN OF BIG FLATS WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,443,268
2025,APRIL,ADAMS,TOWN OF COLBURN WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,117,80
2025,APRIL,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,580,295
2025,APRIL,ADAMS,TOWN OF EASTON WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,396,225
2025,APRIL,ADAMS,TOWN OF JACKSON WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,497,289
2025,APRIL,ADAMS,TOWN OF LEOLA WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,121,92
2025,APRIL,ADAMS,TOWN OF LINCOLN WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,157,86
2025,APRIL,ADAMS,TOWN OF MONROE WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,244,150
2025,APRIL,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,327,198
2025,APRIL,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,270,145
2025,APRIL,ADAMS,TOWN OF PRESTON WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,563,349
2025,APRIL,ADAMS,TOWN OF QUINCY WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,566,306
2025,APRIL,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,72,54
2025,APRIL,ADAMS,TOWN OF ROME WARDS 1-4,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,1743,1024
2025,APRIL,ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,515,258
2025,APRIL,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,546,314
2025,APRIL,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,192,90
2025,APRIL,ADAMS,CITY OF ADAMS WARDS 1-5,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,500,265
2025,APRIL,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,10,4
2025,APRIL,ASHLAND,TOWN OF AGENDA WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,203,140
2025,APRIL,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,224,116
2025,APRIL,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,201,116
2025,APRIL,ASHLAND,TOWN OF GINGLES WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,324,155
2025,APRIL,ASHLAND,TOWN OF GORDON WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,125,58
2025,APRIL,ASHLAND,TOWN OF JACOBS WARDS 1-2,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,213,130
2025,APRIL,ASHLAND,TOWN OF LA POINTE WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,231,43
2025,APRIL,ASHLAND,TOWN OF MARENGO WARD 1,SPRING GENERAL,STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,NONPARTISAN,BRITTANY  KINSER,182,90
