year,month,county,reporting_unit,election_type,office,party,candidate,total_votes,votes
2018,FEBRUARY,ADAMS,TOWN OF ADAMS WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,88,17
2018,FEBRUARY,ADAMS,TOWN OF BIG FLATS WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,60,24
2018,FEBRUARY,ADAMS,TOWN OF COLBURN WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,20,5
2018,FEBRUARY,ADAMS,TOWN OF DELL PRAIRIE WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,97,21
2018,FEBRUARY,ADAMS,TOWN OF EASTON WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,78,15
2018,FEBRUARY,ADAMS,TOWN OF JACKSON WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,109,19
2018,FEBRUARY,ADAMS,TOWN OF LEOLA WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,19,1
2018,FEBRUARY,ADAMS,TOWN OF LINCOLN WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,41,5
2018,FEBRUARY,ADAMS,TOWN OF MONROE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,44,14
2018,FEBRUARY,ADAMS,TOWN OF NEW CHESTER WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,47,18
2018,FEBRUARY,ADAMS,TOWN OF NEW HAVEN WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,70,23
2018,FEBRUARY,ADAMS,TOWN OF PRESTON WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,102,35
2018,FEBRUARY,ADAMS,TOWN OF QUINCY WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,78,30
2018,FEBRUARY,ADAMS,TOWN OF RICHFIELD WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,16,2
2018,FEBRUARY,ADAMS,TOWN OF ROME WARDS 1-5,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,248,75
2018,FEBRUARY,ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,100,18
2018,FEBRUARY,ADAMS,TOWN OF STRONGS PRAIRIE WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,88,29
2018,FEBRUARY,ADAMS,VILLAGE OF FRIENDSHIP WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,65,13
2018,FEBRUARY,ADAMS,CITY OF ADAMS WARDS 1-4,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,103,41
2018,FEBRUARY,ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,0,0
2018,FEBRUARY,ASHLAND,TOWN OF AGENDA WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,30,6
2018,FEBRUARY,ASHLAND,TOWN OF ASHLAND WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,53,16
2018,FEBRUARY,ASHLAND,TOWN OF CHIPPEWA WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,33,7
2018,FEBRUARY,ASHLAND,TOWN OF GINGLES WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,53,18
2018,FEBRUARY,ASHLAND,TOWN OF GORDON WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,18,2
2018,FEBRUARY,ASHLAND,TOWN OF JACOBS WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,46,11
2018,FEBRUARY,ASHLAND,TOWN OF LA POINTE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,71,21
2018,FEBRUARY,ASHLAND,TOWN OF MARENGO WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,33,10
2018,FEBRUARY,ASHLAND,TOWN OF MORSE WARDS 1-3,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,39,8
2018,FEBRUARY,ASHLAND,TOWN OF PEEKSVILLE WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,24,6
2018,FEBRUARY,ASHLAND,TOWN OF SANBORN WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,21,9
2018,FEBRUARY,ASHLAND,TOWN OF SHANAGOLDEN WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,17,7
2018,FEBRUARY,ASHLAND,TOWN OF WHITE RIVER WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,56,13
2018,FEBRUARY,ASHLAND,VILLAGE OF BUTTERNUT WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,24,10
2018,FEBRUARY,ASHLAND,"CITY OF ASHLAND WARDS 1,4-5",SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,250,100
2018,FEBRUARY,ASHLAND,"CITY OF ASHLAND WARDS 2-3,6-7",SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,152,46
2018,FEBRUARY,ASHLAND,CITY OF ASHLAND WARDS 8-11,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,162,70
2018,FEBRUARY,ASHLAND,CITY OF MELLEN WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,38,11
2018,FEBRUARY,BARRON,TOWN OF ALMENA WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,37,7
2018,FEBRUARY,BARRON,TOWN OF ARLAND WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,30,7
2018,FEBRUARY,BARRON,TOWN OF BARRON WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,45,4
2018,FEBRUARY,BARRON,TOWN OF BEAR LAKE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,44,9
2018,FEBRUARY,BARRON,TOWN OF CEDAR LAKE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,283,85
2018,FEBRUARY,BARRON,TOWN OF CHETEK WARDS 1-2,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,106,29
2018,FEBRUARY,BARRON,TOWN OF CLINTON WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,42,6
2018,FEBRUARY,BARRON,TOWN OF CRYSTAL LAKE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,35,5
2018,FEBRUARY,BARRON,TOWN OF CUMBERLAND WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,52,13
2018,FEBRUARY,BARRON,TOWN OF DALLAS WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,38,7
2018,FEBRUARY,BARRON,TOWN OF DOVRE WARD 1,SPRING PRIMARY,JUSTICE OF THE SUPREME COURT,NONPARTISAN,REBECCA DALLET,47,14
