county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
ADAMS,55001,5500100275,ADAMS,C,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,149,212
ADAMS,55001,5500100275,ADAMS,C,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,63,212
ADAMS,55001,5500100275,ADAMS,C,2000,SUPREME COURT,SCATTERING,SCATTERING,0,212
ADAMS,55001,5500100275,ADAMS,C,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",101,101
ADAMS,55001,5500100275,ADAMS,C,2001,SUPREME COURT,SCATTERING,SCATTERING,0,101
ADAMS,55001,5500100275,ADAMS,C,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,229,379
ADAMS,55001,5500100275,ADAMS,C,2003,SUPREME COURT,LIBERAL,ED BRUNNER,150,379
ADAMS,55001,5500100275,ADAMS,C,2003,SUPREME COURT,SCATTERING,SCATTERING,0,379
ADAMS,55001,5500100275,ADAMS,C,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,96,96
ADAMS,55001,5500100275,ADAMS,C,2005,SUPREME COURT,SCATTERING,SCATTERING,0,96
ADAMS,55001,5500100275,ADAMS,C,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,181,183
ADAMS,55001,5500100275,ADAMS,C,2006,SUPREME COURT,SCATTERING,SCATTERING,2,183
ADAMS,55001,5500100275,ADAMS,C,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,185,309
ADAMS,55001,5500100275,ADAMS,C,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,123,309
ADAMS,55001,5500100275,ADAMS,C,2007,SUPREME COURT,SCATTERING,SCATTERING,1,309
ADAMS,55001,5500100275,ADAMS,C,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,68,165
ADAMS,55001,5500100275,ADAMS,C,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,97,165
ADAMS,55001,5500100275,ADAMS,C,2008,SUPREME COURT,SCATTERING,SCATTERING,0,165
