muni_fips,municipality,ctv,muni_label,year,office,party,candidate,votes,total_votes
5500100,ABBOTSFORD,C,C ABBOTSFORD,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,130,217
5500100,ABBOTSFORD,C,C ABBOTSFORD,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,87,217
5500100,ABBOTSFORD,C,C ABBOTSFORD,2000,SUPREME COURT,SCATTERING,SCATTERING,0,217
5500100,ABBOTSFORD,C,C ABBOTSFORD,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",447,448
5500100,ABBOTSFORD,C,C ABBOTSFORD,2001,SUPREME COURT,SCATTERING,SCATTERING,1,448
5500100,ABBOTSFORD,C,C ABBOTSFORD,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,260,561
5500100,ABBOTSFORD,C,C ABBOTSFORD,2003,SUPREME COURT,LIBERAL,ED BRUNNER,301,561
5500100,ABBOTSFORD,C,C ABBOTSFORD,2003,SUPREME COURT,SCATTERING,SCATTERING,0,561
5500100,ABBOTSFORD,C,C ABBOTSFORD,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,526,527
5500100,ABBOTSFORD,C,C ABBOTSFORD,2005,SUPREME COURT,SCATTERING,SCATTERING,1,527
5500100,ABBOTSFORD,C,C ABBOTSFORD,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,277,277
5500100,ABBOTSFORD,C,C ABBOTSFORD,2006,SUPREME COURT,SCATTERING,SCATTERING,0,277
5500100,ABBOTSFORD,C,C ABBOTSFORD,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,368,584
5500100,ABBOTSFORD,C,C ABBOTSFORD,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,214,584
5500100,ABBOTSFORD,C,C ABBOTSFORD,2007,SUPREME COURT,SCATTERING,SCATTERING,2,584
5500100,ABBOTSFORD,C,C ABBOTSFORD,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,170,303
5500100,ABBOTSFORD,C,C ABBOTSFORD,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,130,303
5500100,ABBOTSFORD,C,C ABBOTSFORD,2008,SUPREME COURT,SCATTERING,SCATTERING,3,303
5500100,ABBOTSFORD,C,C ABBOTSFORD,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,204,543
5500100,ABBOTSFORD,C,C ABBOTSFORD,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,339,543
5500100,ABBOTSFORD,C,C ABBOTSFORD,2009,SUPREME COURT,SCATTERING,SCATTERING,0,543
5500100,ABBOTSFORD,C,C ABBOTSFORD,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",228,419
5500100,ABBOTSFORD,C,C ABBOTSFORD,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,191,419
5500100,ABBOTSFORD,C,C ABBOTSFORD,2011,SUPREME COURT,SCATTERING,SCATTERING,0,419
5500100,ABBOTSFORD,C,C ABBOTSFORD,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,137,220
5500100,ABBOTSFORD,C,C ABBOTSFORD,2013,SUPREME COURT,LIBERAL,ED FALLONE,83,220
5500100,ABBOTSFORD,C,C ABBOTSFORD,2013,SUPREME COURT,SCATTERING,SCATTERING,0,220
5500100,ABBOTSFORD,C,C ABBOTSFORD,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,56,172
5500100,ABBOTSFORD,C,C ABBOTSFORD,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,116,172
5500100,ABBOTSFORD,C,C ABBOTSFORD,2015,SUPREME COURT,SCATTERING,SCATTERING,0,172
5500100,ABBOTSFORD,C,C ABBOTSFORD,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,354,569
5500100,ABBOTSFORD,C,C ABBOTSFORD,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,215,569
5500100,ABBOTSFORD,C,C ABBOTSFORD,2016,SUPREME COURT,SCATTERING,SCATTERING,0,569
5500100,ABBOTSFORD,C,C ABBOTSFORD,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,201,201
5500100,ABBOTSFORD,C,C ABBOTSFORD,2017,SUPREME COURT,SCATTERING,SCATTERING,0,201
5500100,ABBOTSFORD,C,C ABBOTSFORD,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,107,234
