municipality,reporting_unit,county,candidate,votes,party,ctv,year,office,total_votes
Adams,Wards 1 - 6,Adams County,"david t prosser, jr.",54,Conservative,T,2001,Justice of the Supreme Court,54
Adams,Wards 1 - 6,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,54
Big Flats,Wards 1 - 4,Adams County,"david t prosser, jr.",167,Conservative,T,2001,Justice of the Supreme Court,167
Big Flats,Wards 1 - 4,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,167
Colburn,Ward 1,Adams County,"david t prosser, jr.",20,Conservative,T,2001,Justice of the Supreme Court,20
Colburn,Ward 1,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,20
Dell Prairie,Wards 1 & 2,Adams County,"david t prosser, jr.",127,Conservative,T,2001,Justice of the Supreme Court,127
Dell Prairie,Wards 1 & 2,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,127
Easton,Wards 1 & 2,Adams County,"david t prosser, jr.",92,Conservative,T,2001,Justice of the Supreme Court,92
Easton,Wards 1 & 2,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,92
Jackson,Ward 1,Adams County,"david t prosser, jr.",133,Conservative,T,2001,Justice of the Supreme Court,133
Jackson,Ward 1,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,133
Leola,Ward 1,Adams County,"david t prosser, jr.",26,Conservative,T,2001,Justice of the Supreme Court,26
Leola,Ward 1,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,26
Lincoln,Ward 1,Adams County,"david t prosser, jr.",32,Conservative,T,2001,Justice of the Supreme Court,32
Lincoln,Ward 1,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,32
Monroe,Ward 1,Adams County,"david t prosser, jr.",93,Conservative,T,2001,Justice of the Supreme Court,93
Monroe,Ward 1,Adams County,Scattering,0,Scattering,T,2001,Justice of the Supreme Court,93
