county,municipality,ctv,reporting_unit,votes,candidate,party,year,total_votes
Adams,Adams,Town,Wards 1 & 2,70,Ann W Bradley,Liberal,2005,70
Adams,Adams,Town,Wards 1 & 2,0,Scattering,Scattering,2005,70
Adams,Big Flats,Town,Ward 1,182,Ann W Bradley,Liberal,2005,183
Adams,Big Flats,Town,Ward 1,1,Scattering,Scattering,2005,183
Adams,Colburn,Town,Ward 1,26,Ann W Bradley,Liberal,2005,26
Adams,Colburn,Town,Ward 1,0,Scattering,Scattering,2005,26
Adams,Dell Prairie,Town,Wards 1 & 2,166,Ann W Bradley,Liberal,2005,166
Adams,Dell Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2005,166
Adams,Easton,Town,Wards 1 & 2,66,Ann W Bradley,Liberal,2005,66
Adams,Easton,Town,Wards 1 & 2,0,Scattering,Scattering,2005,66
Adams,Jackson,Town,Ward 1,125,Ann W Bradley,Liberal,2005,125
Adams,Jackson,Town,Ward 1,0,Scattering,Scattering,2005,125
Adams,Leola,Town,Ward 1,72,Ann W Bradley,Liberal,2005,72
Adams,Leola,Town,Ward 1,0,Scattering,Scattering,2005,72
Adams,Lincoln,Town,Ward 1,27,Ann W Bradley,Liberal,2005,27
Adams,Lincoln,Town,Ward 1,0,Scattering,Scattering,2005,27
Adams,Monroe,Town,Ward 1,70,Ann W Bradley,Liberal,2005,70
Adams,Monroe,Town,Ward 1,0,Scattering,Scattering,2005,70
Adams,New Chester,Town,Wards 1 & 2,105,Ann W Bradley,Liberal,2005,105
Adams,New Chester,Town,Wards 1 & 2,0,Scattering,Scattering,2005,105
Adams,New Haven,Town,Ward 1,162,Ann W Bradley,Liberal,2005,162
Adams,New Haven,Town,Ward 1,0,Scattering,Scattering,2005,162
Adams,Preston,Town,Wards 1 - 3,74,Ann W Bradley,Liberal,2005,74
Adams,Preston,Town,Wards 1 - 3,0,Scattering,Scattering,2005,74
Adams,Quincy,Town,Wards 1 & 2,230,Ann W Bradley,Liberal,2005,230
Adams,Quincy,Town,Wards 1 & 2,0,Scattering,Scattering,2005,230
Adams,Richfield,Town,Ward 1,26,Ann W Bradley,Liberal,2005,26
Adams,Richfield,Town,Ward 1,0,Scattering,Scattering,2005,26
Adams,Rome,Town,Wards 1 - 5,615,Ann W Bradley,Liberal,2005,615
Adams,Rome,Town,Wards 1 - 5,0,Scattering,Scattering,2005,615
Adams,Springville,Town,Wards 1 & 2,48,Ann W Bradley,Liberal,2005,48
Adams,Springville,Town,Wards 1 & 2,0,Scattering,Scattering,2005,48
Adams,Strongs Prairie,Town,Wards 1 & 2,124,Ann W Bradley,Liberal,2005,124
Adams,Strongs Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2005,124
Adams,Friendship,Village,Ward 1,40,Ann W Bradley,Liberal,2005,40
Adams,Friendship,Village,Ward 1,0,Scattering,Scattering,2005,40
Adams,Adams,City,Wards 1 - 5,96,Ann W Bradley,Liberal,2005,96
Adams,Adams,City,Wards 1 - 5,0,Scattering,Scattering,2005,96
Adams,Wisconsin Dells,City,Ward 5,3,Ann W Bradley,Liberal,2005,3
Adams,Wisconsin Dells,City,Ward 5,0,Scattering,Scattering,2005,3
Ashland,Agenda,Town,Ward 1,60,Ann W Bradley,Liberal,2005,60
Ashland,Agenda,Town,Ward 1,0,Scattering,Scattering,2005,60
Ashland,Ashland,Town,Ward 1,42,Ann W Bradley,Liberal,2005,43
Ashland,Ashland,Town,Ward 1,1,Scattering,Scattering,2005,43
Ashland,Chippewa,Town,Ward 1,76,Ann W Bradley,Liberal,2005,76
Ashland,Chippewa,Town,Ward 1,0,Scattering,Scattering,2005,76
Ashland,Gingles,Town,Wards 1 & 2,101,Ann W Bradley,Liberal,2005,101
Ashland,Gingles,Town,Wards 1 & 2,0,Scattering,Scattering,2005,101
Ashland,Gordon,Town,Ward 1,58,Ann W Bradley,Liberal,2005,58
Ashland,Gordon,Town,Ward 1,0,Scattering,Scattering,2005,58
Ashland,Jacobs,Town,Ward 1,115,Ann W Bradley,Liberal,2005,116
Ashland,Jacobs,Town,Ward 1,1,Scattering,Scattering,2005,116
Ashland,La Pointe,Town,Ward 1,85,Ann W Bradley,Liberal,2005,87
Ashland,La Pointe,Town,Ward 1,2,Scattering,Scattering,2005,87
Ashland,Marengo,Town,Wards 1 & 2,53,Ann W Bradley,Liberal,2005,53
Ashland,Marengo,Town,Wards 1 & 2,0,Scattering,Scattering,2005,53
Ashland,Morse,Town,Wards 1 & 2,47,Ann W Bradley,Liberal,2005,47
Ashland,Morse,Town,Wards 1 & 2,0,Scattering,Scattering,2005,47
Ashland,Peeksville,Town,Ward 1,57,Ann W Bradley,Liberal,2005,57
Ashland,Peeksville,Town,Ward 1,0,Scattering,Scattering,2005,57
Ashland,Sanborn,Town,Wards 1 & 2,107,Ann W Bradley,Liberal,2005,107
Ashland,Sanborn,Town,Wards 1 & 2,0,Scattering,Scattering,2005,107
Ashland,Shanagolden,Town,Ward 1,35,Ann W Bradley,Liberal,2005,35
Ashland,Shanagolden,Town,Ward 1,0,Scattering,Scattering,2005,35
Ashland,White River,Town,Wards 1 - 3,127,Ann W Bradley,Liberal,2005,127
Ashland,White River,Town,Wards 1 - 3,0,Scattering,Scattering,2005,127
Ashland,Butternut,Village,Wards 1 & 2,71,Ann W Bradley,Liberal,2005,71
