county,municipality,reporting_unit,office,total_votes,party,candidate,votes,ctv,year
ADAMS,ADAMS,WARD 1-3,JUSTICE OF THE SUPREME COURT,109,CONSERVATIVE,ANNETTE ZIEGLER,109,T,2017
ADAMS,ADAMS,WARD 1-3,JUSTICE OF THE SUPREME COURT,109,SCATTERING,SCATTERING,0,T,2017
ADAMS,BIG FLATS,WARD 1-2,JUSTICE OF THE SUPREME COURT,87,CONSERVATIVE,ANNETTE ZIEGLER,87,T,2017
ADAMS,BIG FLATS,WARD 1-2,JUSTICE OF THE SUPREME COURT,87,SCATTERING,SCATTERING,0,T,2017
ADAMS,COLBURN,WARD 1,JUSTICE OF THE SUPREME COURT,44,CONSERVATIVE,ANNETTE ZIEGLER,44,T,2017
ADAMS,COLBURN,WARD 1,JUSTICE OF THE SUPREME COURT,44,SCATTERING,SCATTERING,0,T,2017
ADAMS,DELL PRAIRIE,WARD 1-3,JUSTICE OF THE SUPREME COURT,79,CONSERVATIVE,ANNETTE ZIEGLER,79,T,2017
ADAMS,DELL PRAIRIE,WARD 1-3,JUSTICE OF THE SUPREME COURT,79,SCATTERING,SCATTERING,0,T,2017
ADAMS,EASTON,WARD 1-2,JUSTICE OF THE SUPREME COURT,74,CONSERVATIVE,ANNETTE ZIEGLER,74,T,2017
ADAMS,EASTON,WARD 1-2,JUSTICE OF THE SUPREME COURT,74,SCATTERING,SCATTERING,0,T,2017
ADAMS,JACKSON,WARD 1-2,JUSTICE OF THE SUPREME COURT,72,CONSERVATIVE,ANNETTE ZIEGLER,72,T,2017
ADAMS,JACKSON,WARD 1-2,JUSTICE OF THE SUPREME COURT,72,SCATTERING,SCATTERING,0,T,2017
ADAMS,LEOLA,WARD 1,JUSTICE OF THE SUPREME COURT,53,CONSERVATIVE,ANNETTE ZIEGLER,53,T,2017
ADAMS,LEOLA,WARD 1,JUSTICE OF THE SUPREME COURT,53,SCATTERING,SCATTERING,0,T,2017
ADAMS,LINCOLN,WARD 1,JUSTICE OF THE SUPREME COURT,42,CONSERVATIVE,ANNETTE ZIEGLER,42,T,2017
ADAMS,LINCOLN,WARD 1,JUSTICE OF THE SUPREME COURT,42,SCATTERING,SCATTERING,0,T,2017
ADAMS,MONROE,WARD 1,JUSTICE OF THE SUPREME COURT,45,CONSERVATIVE,ANNETTE ZIEGLER,45,T,2017
ADAMS,MONROE,WARD 1,JUSTICE OF THE SUPREME COURT,45,SCATTERING,SCATTERING,0,T,2017
ADAMS,NEW CHESTER,WARD 1-3,JUSTICE OF THE SUPREME COURT,54,CONSERVATIVE,ANNETTE ZIEGLER,54,T,2017
ADAMS,NEW CHESTER,WARD 1-3,JUSTICE OF THE SUPREME COURT,54,SCATTERING,SCATTERING,0,T,2017
ADAMS,NEW HAVEN,WARD 1,JUSTICE OF THE SUPREME COURT,63,CONSERVATIVE,ANNETTE ZIEGLER,63,T,2017
ADAMS,NEW HAVEN,WARD 1,JUSTICE OF THE SUPREME COURT,63,SCATTERING,SCATTERING,0,T,2017
ADAMS,PRESTON,WARD 1-2,JUSTICE OF THE SUPREME COURT,146,CONSERVATIVE,ANNETTE ZIEGLER,146,T,2017
ADAMS,PRESTON,WARD 1-2,JUSTICE OF THE SUPREME COURT,146,SCATTERING,SCATTERING,0,T,2017
ADAMS,QUINCY,WARD 1-3,JUSTICE OF THE SUPREME COURT,187,CONSERVATIVE,ANNETTE ZIEGLER,187,T,2017
ADAMS,QUINCY,WARD 1-3,JUSTICE OF THE SUPREME COURT,187,SCATTERING,SCATTERING,0,T,2017
ADAMS,RICHFIELD,WARD 1,JUSTICE OF THE SUPREME COURT,9,CONSERVATIVE,ANNETTE ZIEGLER,9,T,2017
ADAMS,RICHFIELD,WARD 1,JUSTICE OF THE SUPREME COURT,9,SCATTERING,SCATTERING,0,T,2017
ADAMS,ROME,WARD 1-5,JUSTICE OF THE SUPREME COURT,550,CONSERVATIVE,ANNETTE ZIEGLER,550,T,2017
ADAMS,ROME,WARD 1-5,JUSTICE OF THE SUPREME COURT,550,SCATTERING,SCATTERING,0,T,2017
ADAMS,SPRINGVILLE,WARD 1-2,JUSTICE OF THE SUPREME COURT,71,CONSERVATIVE,ANNETTE ZIEGLER,71,T,2017
ADAMS,SPRINGVILLE,WARD 1-2,JUSTICE OF THE SUPREME COURT,71,SCATTERING,SCATTERING,0,T,2017
ADAMS,STRONGS PRAIRIE,WARDS 1-3,JUSTICE OF THE SUPREME COURT,88,CONSERVATIVE,ANNETTE ZIEGLER,88,T,2017
ADAMS,STRONGS PRAIRIE,WARDS 1-3,JUSTICE OF THE SUPREME COURT,88,SCATTERING,SCATTERING,0,T,2017
ADAMS,FRIENDSHIP,WARD 1,JUSTICE OF THE SUPREME COURT,49,CONSERVATIVE,ANNETTE ZIEGLER,49,V,2017
ADAMS,FRIENDSHIP,WARD 1,JUSTICE OF THE SUPREME COURT,49,SCATTERING,SCATTERING,0,V,2017
ADAMS,ADAMS,WARD 1,JUSTICE OF THE SUPREME COURT,38,CONSERVATIVE,ANNETTE ZIEGLER,38,C,2017
ADAMS,ADAMS,WARD 1,JUSTICE OF THE SUPREME COURT,38,SCATTERING,SCATTERING,0,C,2017
ADAMS,ADAMS,WARD 2,JUSTICE OF THE SUPREME COURT,58,CONSERVATIVE,ANNETTE ZIEGLER,58,C,2017
ADAMS,ADAMS,WARD 2,JUSTICE OF THE SUPREME COURT,58,SCATTERING,SCATTERING,0,C,2017
ADAMS,ADAMS,WARDS 3-4,JUSTICE OF THE SUPREME COURT,61,CONSERVATIVE,ANNETTE ZIEGLER,61,C,2017
ADAMS,ADAMS,WARDS 3-4,JUSTICE OF THE SUPREME COURT,61,SCATTERING,SCATTERING,0,C,2017
ADAMS,WISCONSIN DELLS,"WARDS 5,9",JUSTICE OF THE SUPREME COURT,1,CONSERVATIVE,ANNETTE ZIEGLER,1,C,2017
ADAMS,WISCONSIN DELLS,"WARDS 5,9",JUSTICE OF THE SUPREME COURT,1,SCATTERING,SCATTERING,0,C,2017
ASHLAND,AGENDA,WARD 1,JUSTICE OF THE SUPREME COURT,76,CONSERVATIVE,ANNETTE ZIEGLER,76,T,2017
ASHLAND,AGENDA,WARD 1,JUSTICE OF THE SUPREME COURT,76,SCATTERING,SCATTERING,0,T,2017
ASHLAND,ASHLAND,WARD 1,JUSTICE OF THE SUPREME COURT,107,CONSERVATIVE,ANNETTE ZIEGLER,105,T,2017
ASHLAND,ASHLAND,WARD 1,JUSTICE OF THE SUPREME COURT,107,SCATTERING,SCATTERING,2,T,2017
ASHLAND,CHIPPEWA,WARD 1,JUSTICE OF THE SUPREME COURT,134,CONSERVATIVE,ANNETTE ZIEGLER,134,T,2017
ASHLAND,CHIPPEWA,WARD 1,JUSTICE OF THE SUPREME COURT,134,SCATTERING,SCATTERING,0,T,2017
ASHLAND,GINGLES,WARD 1,JUSTICE OF THE SUPREME COURT,85,CONSERVATIVE,ANNETTE ZIEGLER,85,T,2017
ASHLAND,GINGLES,WARD 1,JUSTICE OF THE SUPREME COURT,85,SCATTERING,SCATTERING,0,T,2017
ASHLAND,GORDON,WARDS 1-2,JUSTICE OF THE SUPREME COURT,35,CONSERVATIVE,ANNETTE ZIEGLER,35,T,2017
ASHLAND,GORDON,WARDS 1-2,JUSTICE OF THE SUPREME COURT,35,SCATTERING,SCATTERING,0,T,2017
ASHLAND,JACOBS,WARD 1,JUSTICE OF THE SUPREME COURT,54,CONSERVATIVE,ANNETTE ZIEGLER,52,T,2017
ASHLAND,JACOBS,WARD 1,JUSTICE OF THE SUPREME COURT,54,SCATTERING,SCATTERING,2,T,2017
ASHLAND,LA POINTE,WARD 1,JUSTICE OF THE SUPREME COURT,80,CONSERVATIVE,ANNETTE ZIEGLER,73,T,2017
ASHLAND,LA POINTE,WARD 1,JUSTICE OF THE SUPREME COURT,80,SCATTERING,SCATTERING,7,T,2017
ASHLAND,MARENGO,WARDS 1-2,JUSTICE OF THE SUPREME COURT,86,CONSERVATIVE,ANNETTE ZIEGLER,86,T,2017
ASHLAND,MARENGO,WARDS 1-2,JUSTICE OF THE SUPREME COURT,86,SCATTERING,SCATTERING,0,T,2017
ASHLAND,MORSE,WARDS 1-3,JUSTICE OF THE SUPREME COURT,64,CONSERVATIVE,ANNETTE ZIEGLER,64,T,2017
ASHLAND,MORSE,WARDS 1-3,JUSTICE OF THE SUPREME COURT,64,SCATTERING,SCATTERING,0,T,2017
ASHLAND,PEEKSVILLE,WARDS 1-2,JUSTICE OF THE SUPREME COURT,44,CONSERVATIVE,ANNETTE ZIEGLER,42,T,2017
ASHLAND,PEEKSVILLE,WARDS 1-2,JUSTICE OF THE SUPREME COURT,44,SCATTERING,SCATTERING,2,T,2017
ASHLAND,SANBORN,WARDS 1-2,JUSTICE OF THE SUPREME COURT,129,CONSERVATIVE,ANNETTE ZIEGLER,127,T,2017
