county_fips,county,year,office,party,candidate,votes,total_votes
55001,ADAMS,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,2061,2977
55001,ADAMS,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,914,2977
55001,ADAMS,2000,SUPREME COURT,SCATTERING,SCATTERING,2,2977
55001,ADAMS,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",2338,2339
55001,ADAMS,2001,SUPREME COURT,SCATTERING,SCATTERING,1,2339
55001,ADAMS,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,2923,4912
55001,ADAMS,2003,SUPREME COURT,LIBERAL,ED BRUNNER,1986,4912
55001,ADAMS,2003,SUPREME COURT,SCATTERING,SCATTERING,3,4912
55001,ADAMS,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,2327,2328
55001,ADAMS,2005,SUPREME COURT,SCATTERING,SCATTERING,1,2328
55001,ADAMS,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,1631,1635
55001,ADAMS,2006,SUPREME COURT,SCATTERING,SCATTERING,4,1635
55001,ADAMS,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,2232,3807
55001,ADAMS,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,1567,3807
55001,ADAMS,2007,SUPREME COURT,SCATTERING,SCATTERING,8,3807
55001,ADAMS,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,1329,2526
55001,ADAMS,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,1197,2526
55001,ADAMS,2008,SUPREME COURT,SCATTERING,SCATTERING,0,2526
55001,ADAMS,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,1210,3245
55001,ADAMS,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,2029,3245
55001,ADAMS,2009,SUPREME COURT,SCATTERING,SCATTERING,6,3245
55001,ADAMS,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",2385,4947
55001,ADAMS,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,2557,4947
55001,ADAMS,2011,SUPREME COURT,SCATTERING,SCATTERING,5,4947
55001,ADAMS,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,2207,3587
55001,ADAMS,2013,SUPREME COURT,LIBERAL,ED FALLONE,1380,3587
55001,ADAMS,2013,SUPREME COURT,SCATTERING,SCATTERING,0,3587
55001,ADAMS,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,1521,4073
55001,ADAMS,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,2549,4073
55001,ADAMS,2015,SUPREME COURT,SCATTERING,SCATTERING,3,4073
55001,ADAMS,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,3524,6481
55001,ADAMS,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,2948,6481
55001,ADAMS,2016,SUPREME COURT,SCATTERING,SCATTERING,9,6481
55001,ADAMS,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,1980,1980
55001,ADAMS,2017,SUPREME COURT,SCATTERING,SCATTERING,0,1980
55001,ADAMS,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,1912,3806
55001,ADAMS,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,1892,3806
55001,ADAMS,2018,SUPREME COURT,SCATTERING,SCATTERING,2,3806
55001,ADAMS,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,2401,4313
55001,ADAMS,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,1911,4313
55001,ADAMS,2019,SUPREME COURT,SCATTERING,SCATTERING,1,4313
55001,ADAMS,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,2912,5481
55001,ADAMS,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,2568,5481
55001,ADAMS,2020,SUPREME COURT,SCATTERING,SCATTERING,1,5481
55001,ADAMS,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,4192,7465
55001,ADAMS,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,3242,7465
55001,ADAMS,2023,SUPREME COURT,SCATTERING,SCATTERING,31,7465
55001,ADAMS,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,5171,8777
55001,ADAMS,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,3600,8777
55001,ADAMS,2025,SUPREME COURT,SCATTERING,SCATTERING,6,8777
