municipality,reporting_unit,county,candidate,votes,party,ctv,year,office,total_votes
Adams,Wards 1 - 6,Adams County,diane s sykes,109,Conservative,T,2000,Justice of the Supreme Court,175
Adams,Wards 1 - 6,Adams County,louis b butler,66,Liberal,T,2000,Justice of the Supreme Court,175
Adams,Wards 1 - 6,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,175
Big Flats,Wards 1 - 4,Adams County,diane s sykes,115,Conservative,T,2000,Justice of the Supreme Court,176
Big Flats,Wards 1 - 4,Adams County,louis b butler,61,Liberal,T,2000,Justice of the Supreme Court,176
Big Flats,Wards 1 - 4,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,176
Colburn,Ward 1,Adams County,diane s sykes,18,Conservative,T,2000,Justice of the Supreme Court,25
Colburn,Ward 1,Adams County,louis b butler,7,Liberal,T,2000,Justice of the Supreme Court,25
Colburn,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,25
Dell Prairie,Wards 1 & 2,Adams County,diane s sykes,109,Conservative,T,2000,Justice of the Supreme Court,158
Dell Prairie,Wards 1 & 2,Adams County,louis b butler,49,Liberal,T,2000,Justice of the Supreme Court,158
Dell Prairie,Wards 1 & 2,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,158
Easton,Wards 1 & 2,Adams County,diane s sykes,135,Conservative,T,2000,Justice of the Supreme Court,191
Easton,Wards 1 & 2,Adams County,louis b butler,56,Liberal,T,2000,Justice of the Supreme Court,191
Easton,Wards 1 & 2,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,191
Jackson,Ward 1,Adams County,diane s sykes,140,Conservative,T,2000,Justice of the Supreme Court,194
Jackson,Ward 1,Adams County,louis b butler,54,Liberal,T,2000,Justice of the Supreme Court,194
Jackson,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,194
Leola,Ward 1,Adams County,diane s sykes,27,Conservative,T,2000,Justice of the Supreme Court,40
Leola,Ward 1,Adams County,louis b butler,13,Liberal,T,2000,Justice of the Supreme Court,40
Leola,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,40
Lincoln,Ward 1,Adams County,diane s sykes,31,Conservative,T,2000,Justice of the Supreme Court,46
Lincoln,Ward 1,Adams County,louis b butler,15,Liberal,T,2000,Justice of the Supreme Court,46
Lincoln,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,46
Monroe,Ward 1,Adams County,diane s sykes,55,Conservative,T,2000,Justice of the Supreme Court,73
Monroe,Ward 1,Adams County,louis b butler,17,Liberal,T,2000,Justice of the Supreme Court,73
Monroe,Ward 1,Adams County,Scattering,1,Scattering,T,2000,Justice of the Supreme Court,73
New Chester,Wards 1 - 3,Adams County,diane s sykes,46,Conservative,T,2000,Justice of the Supreme Court,72
New Chester,Wards 1 - 3,Adams County,louis b butler,26,Liberal,T,2000,Justice of the Supreme Court,72
New Chester,Wards 1 - 3,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,72
New Haven,Ward 1,Adams County,diane s sykes,76,Conservative,T,2000,Justice of the Supreme Court,110
New Haven,Ward 1,Adams County,louis b butler,34,Liberal,T,2000,Justice of the Supreme Court,110
New Haven,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,110
Preston,Wards 1 - 3,Adams County,diane s sykes,133,Conservative,T,2000,Justice of the Supreme Court,213
Preston,Wards 1 - 3,Adams County,louis b butler,80,Liberal,T,2000,Justice of the Supreme Court,213
Preston,Wards 1 - 3,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,213
Quincy,Wards 1 & 2,Adams County,diane s sykes,94,Conservative,T,2000,Justice of the Supreme Court,113
Quincy,Wards 1 & 2,Adams County,louis b butler,19,Liberal,T,2000,Justice of the Supreme Court,113
Quincy,Wards 1 & 2,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,113
Richfield,Ward 1,Adams County,diane s sykes,16,Conservative,T,2000,Justice of the Supreme Court,20
Richfield,Ward 1,Adams County,louis b butler,4,Liberal,T,2000,Justice of the Supreme Court,20
Richfield,Ward 1,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,20
Rome,Wards 1 - 3,Adams County,diane s sykes,589,Conservative,T,2000,Justice of the Supreme Court,812
Rome,Wards 1 - 3,Adams County,louis b butler,223,Liberal,T,2000,Justice of the Supreme Court,812
Rome,Wards 1 - 3,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,812
Springville,Ward 1,Adams County,diane s sykes,47,Conservative,T,2000,Justice of the Supreme Court,85
Springville,Ward 1,Adams County,louis b butler,37,Liberal,T,2000,Justice of the Supreme Court,85
Springville,Ward 1,Adams County,Scattering,1,Scattering,T,2000,Justice of the Supreme Court,85
Strongs Prairie,Wards 1 - 3,Adams County,diane s sykes,79,Conservative,T,2000,Justice of the Supreme Court,136
Strongs Prairie,Wards 1 - 3,Adams County,louis b butler,57,Liberal,T,2000,Justice of the Supreme Court,136
Strongs Prairie,Wards 1 - 3,Adams County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,136
Friendship,Ward 1,Adams County,diane s sykes,92,Conservative,V,2000,Justice of the Supreme Court,124
Friendship,Ward 1,Adams County,louis b butler,32,Liberal,V,2000,Justice of the Supreme Court,124
Friendship,Ward 1,Adams County,Scattering,0,Scattering,V,2000,Justice of the Supreme Court,124
Adams,Wards 1 - 4,Adams County,diane s sykes,149,Conservative,C,2000,Justice of the Supreme Court,212
Adams,Wards 1 - 4,Adams County,louis b butler,63,Liberal,C,2000,Justice of the Supreme Court,212
Adams,Wards 1 - 4,Adams County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,212
Wisconsin Dells,Ward 5,Adams County,diane s sykes,1,Conservative,C,2000,Justice of the Supreme Court,2
Wisconsin Dells,Ward 5,Adams County,louis b butler,1,Liberal,C,2000,Justice of the Supreme Court,2
Wisconsin Dells,Ward 5,Adams County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,2
Agenda,Ward 1,Ashland County,diane s sykes,46,Conservative,T,2000,Justice of the Supreme Court,67
Agenda,Ward 1,Ashland County,louis b butler,21,Liberal,T,2000,Justice of the Supreme Court,67
Agenda,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,67
Ashland,Ward 1,Ashland County,diane s sykes,27,Conservative,T,2000,Justice of the Supreme Court,48
Ashland,Ward 1,Ashland County,louis b butler,21,Liberal,T,2000,Justice of the Supreme Court,48
Ashland,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,48
Chippewa,Ward 1,Ashland County,diane s sykes,42,Conservative,T,2000,Justice of the Supreme Court,65
Chippewa,Ward 1,Ashland County,louis b butler,23,Liberal,T,2000,Justice of the Supreme Court,65
Chippewa,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,65
Gingles,Ward 1,Ashland County,diane s sykes,47,Conservative,T,2000,Justice of the Supreme Court,78
Gingles,Ward 1,Ashland County,louis b butler,31,Liberal,T,2000,Justice of the Supreme Court,78
Gingles,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,78
Gordon,Ward 1,Ashland County,diane s sykes,31,Conservative,T,2000,Justice of the Supreme Court,54
Gordon,Ward 1,Ashland County,louis b butler,23,Liberal,T,2000,Justice of the Supreme Court,54
Gordon,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,54
Jacobs,Ward 1,Ashland County,diane s sykes,25,Conservative,T,2000,Justice of the Supreme Court,32
Jacobs,Ward 1,Ashland County,louis b butler,7,Liberal,T,2000,Justice of the Supreme Court,32
Jacobs,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,32
Jacobs,Ward 2,Ashland County,diane s sykes,33,Conservative,T,2000,Justice of the Supreme Court,42
Jacobs,Ward 2,Ashland County,louis b butler,9,Liberal,T,2000,Justice of the Supreme Court,42
Jacobs,Ward 2,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,42
La Pointe,Ward 1,Ashland County,diane s sykes,54,Conservative,T,2000,Justice of the Supreme Court,80
La Pointe,Ward 1,Ashland County,louis b butler,24,Liberal,T,2000,Justice of the Supreme Court,80
La Pointe,Ward 1,Ashland County,Scattering,2,Scattering,T,2000,Justice of the Supreme Court,80
Marengo,Ward 1,Ashland County,diane s sykes,30,Conservative,T,2000,Justice of the Supreme Court,62
Marengo,Ward 1,Ashland County,louis b butler,32,Liberal,T,2000,Justice of the Supreme Court,62
Marengo,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,62
Morse,Ward 1,Ashland County,diane s sykes,51,Conservative,T,2000,Justice of the Supreme Court,79
Morse,Ward 1,Ashland County,louis b butler,28,Liberal,T,2000,Justice of the Supreme Court,79
Morse,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,79
Peeksville,Ward 1,Ashland County,diane s sykes,16,Conservative,T,2000,Justice of the Supreme Court,30
Peeksville,Ward 1,Ashland County,louis b butler,14,Liberal,T,2000,Justice of the Supreme Court,30
Peeksville,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,30
Sanborn,Ward 1,Ashland County,diane s sykes,13,Conservative,T,2000,Justice of the Supreme Court,15
Sanborn,Ward 1,Ashland County,louis b butler,2,Liberal,T,2000,Justice of the Supreme Court,15
Sanborn,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,15
Sanborn,Ward 2,Ashland County,diane s sykes,18,Conservative,T,2000,Justice of the Supreme Court,25
Sanborn,Ward 2,Ashland County,louis b butler,7,Liberal,T,2000,Justice of the Supreme Court,25
Sanborn,Ward 2,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,25
Shanagolden,Ward 1,Ashland County,diane s sykes,10,Conservative,T,2000,Justice of the Supreme Court,24
Shanagolden,Ward 1,Ashland County,louis b butler,14,Liberal,T,2000,Justice of the Supreme Court,24
Shanagolden,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,24
White River,Ward 1,Ashland County,diane s sykes,37,Conservative,T,2000,Justice of the Supreme Court,67
White River,Ward 1,Ashland County,louis b butler,30,Liberal,T,2000,Justice of the Supreme Court,67
White River,Ward 1,Ashland County,Scattering,0,Scattering,T,2000,Justice of the Supreme Court,67
Butternut,Ward 1,Ashland County,diane s sykes,29,Conservative,V,2000,Justice of the Supreme Court,38
Butternut,Ward 1,Ashland County,louis b butler,9,Liberal,V,2000,Justice of the Supreme Court,38
Butternut,Ward 1,Ashland County,Scattering,0,Scattering,V,2000,Justice of the Supreme Court,38
Butternut,Ward 2,Ashland County,diane s sykes,7,Conservative,V,2000,Justice of the Supreme Court,20
Butternut,Ward 2,Ashland County,louis b butler,13,Liberal,V,2000,Justice of the Supreme Court,20
Butternut,Ward 2,Ashland County,Scattering,0,Scattering,V,2000,Justice of the Supreme Court,20
Ashland,Ward 1,Ashland County,diane s sykes,67,Conservative,C,2000,Justice of the Supreme Court,108
Ashland,Ward 1,Ashland County,louis b butler,41,Liberal,C,2000,Justice of the Supreme Court,108
Ashland,Ward 1,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,108
Ashland,Ward 2,Ashland County,diane s sykes,33,Conservative,C,2000,Justice of the Supreme Court,63
Ashland,Ward 2,Ashland County,louis b butler,30,Liberal,C,2000,Justice of the Supreme Court,63
Ashland,Ward 2,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,63
Ashland,Ward 3,Ashland County,diane s sykes,50,Conservative,C,2000,Justice of the Supreme Court,78
Ashland,Ward 3,Ashland County,louis b butler,28,Liberal,C,2000,Justice of the Supreme Court,78
Ashland,Ward 3,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,78
Ashland,Ward 4,Ashland County,diane s sykes,73,Conservative,C,2000,Justice of the Supreme Court,123
Ashland,Ward 4,Ashland County,louis b butler,50,Liberal,C,2000,Justice of the Supreme Court,123
Ashland,Ward 4,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,123
Ashland,Ward 5,Ashland County,diane s sykes,43,Conservative,C,2000,Justice of the Supreme Court,70
Ashland,Ward 5,Ashland County,louis b butler,27,Liberal,C,2000,Justice of the Supreme Court,70
Ashland,Ward 5,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,70
Ashland,Ward 6,Ashland County,diane s sykes,42,Conservative,C,2000,Justice of the Supreme Court,69
Ashland,Ward 6,Ashland County,louis b butler,27,Liberal,C,2000,Justice of the Supreme Court,69
Ashland,Ward 6,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,69
Ashland,Ward 7,Ashland County,diane s sykes,31,Conservative,C,2000,Justice of the Supreme Court,50
Ashland,Ward 7,Ashland County,louis b butler,19,Liberal,C,2000,Justice of the Supreme Court,50
Ashland,Ward 7,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,50
Ashland,Ward 8,Ashland County,diane s sykes,61,Conservative,C,2000,Justice of the Supreme Court,77
Ashland,Ward 8,Ashland County,louis b butler,16,Liberal,C,2000,Justice of the Supreme Court,77
Ashland,Ward 8,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,77
Ashland,Ward 9,Ashland County,diane s sykes,31,Conservative,C,2000,Justice of the Supreme Court,47
Ashland,Ward 9,Ashland County,louis b butler,16,Liberal,C,2000,Justice of the Supreme Court,47
Ashland,Ward 9,Ashland County,Scattering,0,Scattering,C,2000,Justice of the Supreme Court,47
Ashland,Ward 10,Ashland County,diane s sykes,48,Conservative,C,2000,Justice of the Supreme Court,69
Ashland,Ward 10,Ashland County,louis b butler,21,Liberal,C,2000,Justice of the Supreme Court,69
