county,municipality,ctv,reporting_unit,votes,candidate,party,year,total_votes
Adams,Adams,Town,Wards 1 & 2,67,Patrick Crooks,Conservative,2006,67
Adams,Adams,Town,Wards 1 & 2,0,Scattering,Scattering,2006,67
Adams,Big Flats,Town,Ward 1,58,Patrick Crooks,Conservative,2006,58
Adams,Big Flats,Town,Ward 1,0,Scattering,Scattering,2006,58
Adams,Colburn,Town,Ward 1,24,Patrick Crooks,Conservative,2006,24
Adams,Colburn,Town,Ward 1,0,Scattering,Scattering,2006,24
Adams,Dell Prairie,Town,Wards 1 & 2,58,Patrick Crooks,Conservative,2006,58
Adams,Dell Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2006,58
Adams,Easton,Town,Wards 1 & 2,59,Patrick Crooks,Conservative,2006,59
Adams,Easton,Town,Wards 1 & 2,0,Scattering,Scattering,2006,59
Adams,Jackson,Town,Ward 1,38,Patrick Crooks,Conservative,2006,38
Adams,Jackson,Town,Ward 1,0,Scattering,Scattering,2006,38
Adams,Leola,Town,Ward 1,53,Patrick Crooks,Conservative,2006,53
Adams,Leola,Town,Ward 1,0,Scattering,Scattering,2006,53
Adams,Lincoln,Town,Ward 1,29,Patrick Crooks,Conservative,2006,29
Adams,Lincoln,Town,Ward 1,0,Scattering,Scattering,2006,29
Adams,Monroe,Town,Ward 1,33,Patrick Crooks,Conservative,2006,33
Adams,Monroe,Town,Ward 1,0,Scattering,Scattering,2006,33
Adams,New Chester,Town,Wards 1 & 2,38,Patrick Crooks,Conservative,2006,38
Adams,New Chester,Town,Wards 1 & 2,0,Scattering,Scattering,2006,38
Adams,New Haven,Town,Ward 1,55,Patrick Crooks,Conservative,2006,55
Adams,New Haven,Town,Ward 1,0,Scattering,Scattering,2006,55
Adams,Preston,Town,Wards 1 - 3,106,Patrick Crooks,Conservative,2006,106
Adams,Preston,Town,Wards 1 - 3,0,Scattering,Scattering,2006,106
Adams,Quincy,Town,Wards 1 & 2,60,Patrick Crooks,Conservative,2006,61
Adams,Quincy,Town,Wards 1 & 2,1,Scattering,Scattering,2006,61
Adams,Richfield,Town,Ward 1,11,Patrick Crooks,Conservative,2006,11
Adams,Richfield,Town,Ward 1,0,Scattering,Scattering,2006,11
Adams,Rome,Town,Wards 1 - 5,604,Patrick Crooks,Conservative,2006,604
Adams,Rome,Town,Wards 1 - 5,0,Scattering,Scattering,2006,604
Adams,Springville,Town,Wards 1 & 2,38,Patrick Crooks,Conservative,2006,38
Adams,Springville,Town,Wards 1 & 2,0,Scattering,Scattering,2006,38
Adams,Strongs Prairie,Town,Wards 1 & 2,61,Patrick Crooks,Conservative,2006,61
Adams,Strongs Prairie,Town,Wards 1 & 2,0,Scattering,Scattering,2006,61
Adams,Friendship,Village,Ward 1,56,Patrick Crooks,Conservative,2006,57
Adams,Friendship,Village,Ward 1,1,Scattering,Scattering,2006,57
Adams,Adams,City,Wards 1 - 5,181,Patrick Crooks,Conservative,2006,183
Adams,Adams,City,Wards 1 - 5,2,Scattering,Scattering,2006,183
Adams,Wisconsin Dells,City,Ward 5,2,Patrick Crooks,Conservative,2006,2
Adams,Wisconsin Dells,City,Ward 5,0,Scattering,Scattering,2006,2
Ashland,Agenda,Town,Ward 1,130,Patrick Crooks,Conservative,2006,130
Ashland,Agenda,Town,Ward 1,0,Scattering,Scattering,2006,130
Ashland,Ashland,Town,Ward 1,19,Patrick Crooks,Conservative,2006,19
Ashland,Ashland,Town,Ward 1,0,Scattering,Scattering,2006,19
Ashland,Chippewa,Town,Ward 1,110,Patrick Crooks,Conservative,2006,110
Ashland,Chippewa,Town,Ward 1,0,Scattering,Scattering,2006,110
Ashland,Gingles,Town,Ward 1,46,Patrick Crooks,Conservative,2006,46
Ashland,Gingles,Town,Ward 1,0,Scattering,Scattering,2006,46
Ashland,Gingles,Town,Ward 2,0,Patrick Crooks,Conservative,2006,0
Ashland,Gingles,Town,Ward 2,0,Scattering,Scattering,2006,0
Ashland,Gordon,Town,Ward 1,32,Patrick Crooks,Conservative,2006,32
Ashland,Gordon,Town,Ward 1,0,Scattering,Scattering,2006,32
Ashland,Jacobs,Town,Ward 1,104,Patrick Crooks,Conservative,2006,104
Ashland,Jacobs,Town,Ward 1,0,Scattering,Scattering,2006,104
Ashland,La Pointe,Town,Ward 1,84,Patrick Crooks,Conservative,2006,85
Ashland,La Pointe,Town,Ward 1,1,Scattering,Scattering,2006,85
Ashland,Marengo,Town,Ward 1,19,Patrick Crooks,Conservative,2006,19
Ashland,Marengo,Town,Ward 1,0,Scattering,Scattering,2006,19
Ashland,Marengo,Town,Ward 2,6,Patrick Crooks,Conservative,2006,6
Ashland,Marengo,Town,Ward 2,0,Scattering,Scattering,2006,6
Ashland,Morse,Town,Ward 1,15,Patrick Crooks,Conservative,2006,15
Ashland,Morse,Town,Ward 1,0,Scattering,Scattering,2006,15
Ashland,Morse,Town,Ward 2,18,Patrick Crooks,Conservative,2006,18
Ashland,Morse,Town,Ward 2,0,Scattering,Scattering,2006,18
Ashland,Peeksville,Town,Ward 1,38,Patrick Crooks,Conservative,2006,38
Ashland,Peeksville,Town,Ward 1,0,Scattering,Scattering,2006,38
Ashland,Sanborn,Town,Ward 1,11,Patrick Crooks,Conservative,2006,12
Ashland,Sanborn,Town,Ward 1,1,Scattering,Scattering,2006,12
Ashland,Sanborn,Town,Ward 2,16,Patrick Crooks,Conservative,2006,16
Ashland,Sanborn,Town,Ward 2,0,Scattering,Scattering,2006,16
Ashland,Shanagolden,Town,Ward 1,18,Patrick Crooks,Conservative,2006,18
Ashland,Shanagolden,Town,Ward 1,0,Scattering,Scattering,2006,18
Ashland,White River,Town,Ward 1,21,Patrick Crooks,Conservative,2006,21
