county,municipality,reporting_unit,office,total_votes,party,candidate,votes,ctv,year
ADAMS,ADAMS,WARDS 1-3,JUSTICE OF THE SUPREME COURT,547,CONSERVATIVE,BRAD SCHIMEL,313,T,2025
ADAMS,ADAMS,WARDS 1-3,JUSTICE OF THE SUPREME COURT,547,LIBERAL,SUSAN CRAWFORD,234,T,2025
ADAMS,ADAMS,WARDS 1-3,JUSTICE OF THE SUPREME COURT,547,SCATTERING,SCATTERING,0,T,2025
ADAMS,BIG FLATS,WARDS 1-2,JUSTICE OF THE SUPREME COURT,469,CONSERVATIVE,BRAD SCHIMEL,301,T,2025
ADAMS,BIG FLATS,WARDS 1-2,JUSTICE OF THE SUPREME COURT,469,LIBERAL,SUSAN CRAWFORD,167,T,2025
ADAMS,BIG FLATS,WARDS 1-2,JUSTICE OF THE SUPREME COURT,469,SCATTERING,SCATTERING,1,T,2025
ADAMS,COLBURN,WARD 1,JUSTICE OF THE SUPREME COURT,123,CONSERVATIVE,BRAD SCHIMEL,87,T,2025
ADAMS,COLBURN,WARD 1,JUSTICE OF THE SUPREME COURT,123,LIBERAL,SUSAN CRAWFORD,36,T,2025
ADAMS,COLBURN,WARD 1,JUSTICE OF THE SUPREME COURT,123,SCATTERING,SCATTERING,0,T,2025
ADAMS,DELL PRAIRIE,WARDS 1-2,JUSTICE OF THE SUPREME COURT,609,CONSERVATIVE,BRAD SCHIMEL,312,T,2025
ADAMS,DELL PRAIRIE,WARDS 1-2,JUSTICE OF THE SUPREME COURT,609,LIBERAL,SUSAN CRAWFORD,297,T,2025
ADAMS,DELL PRAIRIE,WARDS 1-2,JUSTICE OF THE SUPREME COURT,609,SCATTERING,SCATTERING,0,T,2025
ADAMS,EASTON,WARD 1,JUSTICE OF THE SUPREME COURT,420,CONSERVATIVE,BRAD SCHIMEL,266,T,2025
ADAMS,EASTON,WARD 1,JUSTICE OF THE SUPREME COURT,420,LIBERAL,SUSAN CRAWFORD,153,T,2025
ADAMS,EASTON,WARD 1,JUSTICE OF THE SUPREME COURT,420,SCATTERING,SCATTERING,1,T,2025
ADAMS,JACKSON,WARDS 1-2,JUSTICE OF THE SUPREME COURT,519,CONSERVATIVE,BRAD SCHIMEL,299,T,2025
ADAMS,JACKSON,WARDS 1-2,JUSTICE OF THE SUPREME COURT,519,LIBERAL,SUSAN CRAWFORD,220,T,2025
ADAMS,JACKSON,WARDS 1-2,JUSTICE OF THE SUPREME COURT,519,SCATTERING,SCATTERING,0,T,2025
ADAMS,LEOLA,WARD 1,JUSTICE OF THE SUPREME COURT,127,CONSERVATIVE,BRAD SCHIMEL,96,T,2025
ADAMS,LEOLA,WARD 1,JUSTICE OF THE SUPREME COURT,127,LIBERAL,SUSAN CRAWFORD,31,T,2025
ADAMS,LEOLA,WARD 1,JUSTICE OF THE SUPREME COURT,127,SCATTERING,SCATTERING,0,T,2025
ADAMS,LINCOLN,WARD 1,JUSTICE OF THE SUPREME COURT,163,CONSERVATIVE,BRAD SCHIMEL,97,T,2025
