county,municipality,ctv,reporting_unit,year,office,district,con_dist,wsa_dist,wss_dist,party,candidate,votes
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,478
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,411
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,1
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,21
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,0
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,0
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,8
Brown,Green Bay,Town,Wards 1 & 2,2000,president,NA,8,1,1,Scattering,Scattering,1
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,342
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,275
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,2
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,23
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,0
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,0
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,8
Brown,Humboldt,Town,Wards 1 & 2,2000,president,NA,8,1,1,Scattering,Scattering,0
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,908
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,801
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,1
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,44
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,1
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,1
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,9
Brown,Scott,Town,Wards 1 - 3,2000,president,NA,8,1,1,Scattering,Scattering,1
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,275
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,302
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,1
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,46
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,0
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,1
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,0
Door,Baileys Harbor,Town,Ward 1,2000,president,NA,8,1,1,Scattering,Scattering,0
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,282
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,188
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,0
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,12
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,1
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,0
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,5
Door,Brussels,Town,Wards 1 & 2,2000,president,NA,8,1,1,Scattering,Scattering,2
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,117
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,109
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,2
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,0
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Wisconsin Green,Ralph Nader / Winona la Duke,19
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Independent,M Moorehead / Gloria la Riva,0
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Independent 2,James Harris / M Trowe,0
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Independent 3,John Hagelin / Nat Goldhaber,0
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Independent 4,Pat Buchanan / Ezola Foster,2
Door,Claybanks,Town,Ward 1,2000,president,NA,8,1,1,Scattering,Scattering,0
Door,Egg Harbor,Town,Wards 1 & 2,2000,president,NA,8,1,1,Republican,George Bush / Dick Cheney,319
Door,Egg Harbor,Town,Wards 1 & 2,2000,president,NA,8,1,1,Democratic,Al Gore / Joe Lieberman,316
Door,Egg Harbor,Town,Wards 1 & 2,2000,president,NA,8,1,1,Libertarian,Harry Browne / Art Olivier,0
Door,Egg Harbor,Town,Wards 1 & 2,2000,president,NA,8,1,1,Constitution,H Phillips / J C Frazier,1
