county,municipality,ctv,reporting_unit,year,office,district,wss_dist,wsa_dist,con_dist,party,candidate,votes
Adams,Adams,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,300
Adams,Adams,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,186
Adams,Adams,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,12
Adams,Adams,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,1
Adams,Big Flats,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,231
Adams,Big Flats,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,171
Adams,Big Flats,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,7
Adams,Big Flats,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,1
Adams,Colburn,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,49
Adams,Colburn,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,33
Adams,Colburn,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,4
Adams,Colburn,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Dell Prairie,Town,Wards 1 & 2,2006,governor,NA,14,42,6,Democratic,Jim Doyle / Barbara C Lawton,303
Adams,Dell Prairie,Town,Wards 1 & 2,2006,governor,NA,14,42,6,Republican,Mark Green / Jean Hundertmark,239
Adams,Dell Prairie,Town,Wards 1 & 2,2006,governor,NA,14,42,6,Wisconsin Green,Nelson Eisman / Leon Todd,8
Adams,Dell Prairie,Town,Wards 1 & 2,2006,governor,NA,14,42,6,Scattering,Scattering,0
Adams,Easton,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,202
Adams,Easton,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,142
Adams,Easton,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,10
Adams,Easton,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Jackson,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,212
Adams,Jackson,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,180
Adams,Jackson,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,9
Adams,Jackson,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Leola,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,38
Adams,Leola,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,67
Adams,Leola,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,1
Adams,Leola,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Lincoln,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,75
Adams,Lincoln,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,50
Adams,Lincoln,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,6
Adams,Lincoln,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Monroe,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,153
Adams,Monroe,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,104
Adams,Monroe,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,3
Adams,Monroe,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,New Chester,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,168
Adams,New Chester,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,117
Adams,New Chester,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,9
Adams,New Chester,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,New Haven,Town,Ward 1,2006,governor,NA,14,42,6,Democratic,Jim Doyle / Barbara C Lawton,163
Adams,New Haven,Town,Ward 1,2006,governor,NA,14,42,6,Republican,Mark Green / Jean Hundertmark,138
Adams,New Haven,Town,Ward 1,2006,governor,NA,14,42,6,Wisconsin Green,Nelson Eisman / Leon Todd,3
Adams,New Haven,Town,Ward 1,2006,governor,NA,14,42,6,Scattering,Scattering,0
Adams,Preston,Town,Wards 1 - 3,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,342
Adams,Preston,Town,Wards 1 - 3,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,224
Adams,Preston,Town,Wards 1 - 3,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,0
Adams,Preston,Town,Wards 1 - 3,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Quincy,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,324
Adams,Quincy,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,193
Adams,Quincy,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,2
Adams,Quincy,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Richfield,Town,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,34
Adams,Richfield,Town,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,27
Adams,Richfield,Town,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,2
Adams,Richfield,Town,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Rome,Town,Wards 1 - 5,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,766
Adams,Rome,Town,Wards 1 - 5,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,715
Adams,Rome,Town,Wards 1 - 5,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,36
Adams,Rome,Town,Wards 1 - 5,2006,governor,NA,24,72,6,Scattering,Scattering,3
Adams,Springville,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,237
Adams,Springville,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,203
Adams,Springville,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,7
Adams,Springville,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,1
Adams,Strongs Prairie,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,272
Adams,Strongs Prairie,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,216
Adams,Strongs Prairie,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,12
Adams,Strongs Prairie,Town,Wards 1 & 2,2006,governor,NA,24,72,6,Scattering,Scattering,1
Adams,Friendship,Village,Ward 1,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,160
Adams,Friendship,Village,Ward 1,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,100
Adams,Friendship,Village,Ward 1,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,2
Adams,Friendship,Village,Ward 1,2006,governor,NA,24,72,6,Scattering,Scattering,0
Adams,Adams,City,Wards 1 - 5,2006,governor,NA,24,72,6,Democratic,Jim Doyle / Barbara C Lawton,383
Adams,Adams,City,Wards 1 - 5,2006,governor,NA,24,72,6,Republican,Mark Green / Jean Hundertmark,215
Adams,Adams,City,Wards 1 - 5,2006,governor,NA,24,72,6,Wisconsin Green,Nelson Eisman / Leon Todd,17
