county,municipality,ctv,reporting_unit,year,office,district,wsa_dist,wss_dist,con_dist,party,candidate,votes
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,405
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,235
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,4
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,7
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,6
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,2
Adams,Adams,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,3
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,314
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,169
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,7
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,1
Adams,Big Flats,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,3
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,67
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,54
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,2
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,4
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,2
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Colburn,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,0
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Democratic,Barack Obama / Joe Biden,446
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Republican,John McCain / Sarah Palin,345
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Libertarian,Bob Barr / Wayne A Root,2
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Independent 3,Ralph Nader / Matt Gonzalez,3
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Dell Prairie,Town,Wards 1 & 2,2008,president,NA,42,14,6,Scattering,Scattering,4
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,269
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,184
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,2
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,6
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,6
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Easton,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,2
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,293
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,220
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,2
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,1
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,4
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Jackson,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,51
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,95
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,1
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Leola,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,2
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,86
Adams,Lincoln,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,73
