county,rep_unit,wsa_dist,wss_dist,year,con_dist
BROWN,TOWN OF GREEN BAY Wards 1 & 2,1,1,2010,8
BROWN,TOWN OF HUMBOLDT Wards 1 & 2,1,1,2010,8
BROWN,TOWN OF SCOTT Wards 1 - 4,1,1,2010,8
BROWN,CITY OF GREEN BAY Ward 50,1,1,2010,8
DOOR,TOWN OF BAILEYS HARBOR Wards 1 & 2,1,1,2010,8
DOOR,TOWN OF BRUSSELS Wards 1 & 2,1,1,2010,8
DOOR,TOWN OF CLAY BANKS Ward 1,1,1,2010,8
DOOR,TOWN OF EGG HARBOR Wards 1-3,1,1,2010,8
DOOR,TOWN OF FORESTVILLE Wards 1 & 2,1,1,2010,8
DOOR,TOWN OF GARDNER Ward 1,1,1,2010,8
DOOR,TOWN OF GIBRALTAR Wards 1 & 2,1,1,2010,8
DOOR,TOWN OF JACKSONPORT Ward 1,1,1,2010,8
DOOR,TOWN OF LIBERTY GROVE Wards 1 - 3,1,1,2010,8
DOOR,TOWN OF NASEWAUPEE Wards 1 - 3,1,1,2010,8
DOOR,TOWN OF SEVASTOPOL Wards 1 - 3,1,1,2010,8
DOOR,TOWN OF STURGEON BAY Wards 1 & 2,1,1,2010,8
DOOR,TOWN OF UNION Ward 1,1,1,2010,8
DOOR,TOWN OF WASHINGTON Ward 1,1,1,2010,8
DOOR,VILLAGE OF EGG HARBOR Ward 1,1,1,2010,8
DOOR,VILLAGE OF EPHRAIM Ward 1,1,1,2010,8
DOOR,VILLAGE OF FORESTVILLE Ward 1,1,1,2010,8
DOOR,VILLAGE OF SISTER BAY Ward 1,1,1,2010,8
DOOR,"CITY OF STURGEON BAY Wards 1 - 6, 22 & 23",1,1,2010,8
DOOR,"CITY OF STURGEON BAY Wards 7 - 10, 18 - 21, 24 - 27",1,1,2010,8
DOOR,CITY OF STURGEON BAY Wards 11 - 17 & 28,1,1,2010,8
KEWAUNEE,TOWN OF AHNAPEE Ward 1,1,1,2010,8
KEWAUNEE,TOWN OF CARLTON Wards 1 & 2,1,1,2010,8
KEWAUNEE,TOWN OF CASCO Wards 1 & 2,1,1,2010,8
KEWAUNEE,TOWN OF LINCOLN Ward 1,1,1,2010,8
