county,municipality,ctv,reporting_unit,year,office,district,con_dist,wss_dist,wsa_dist,party,candidate,votes
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Democratic,Tom Barrett / Tom Nelson,208
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Republican,Scott Walker / Rebecca Kleefisch,214
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Libertarian,Terry Virgil,1
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Independent,James James,2
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Independent 2,Jim Langer,6
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Write-in 2,Leslie Ervin Smetak / David Myron Smetak,0
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Write-in 3,Patricia Messicci,0
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Write-in,Hari Trivedi,0
ADAMS,ADAMS,T,Wards 1 & 2,2010,governor,NA,6,24,72,Scattering,Scattering,2
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Democratic,Tom Barrett / Tom Nelson,244
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Republican,Scott Walker / Rebecca Kleefisch,200
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Libertarian,Terry Virgil,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Independent,James James,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Independent 2,Jim Langer,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Write-in 2,Leslie Ervin Smetak / David Myron Smetak,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Write-in 3,Patricia Messicci,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Write-in,Hari Trivedi,0
ADAMS,BIG FLATS,T,Ward 1,2010,governor,NA,6,24,72,Scattering,Scattering,0
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Democratic,Tom Barrett / Tom Nelson,44
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Republican,Scott Walker / Rebecca Kleefisch,50
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Libertarian,Terry Virgil,2
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Independent,James James,0
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Independent 2,Jim Langer,1
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Write-in 2,Leslie Ervin Smetak / David Myron Smetak,0
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Write-in 3,Patricia Messicci,0
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Write-in,Hari Trivedi,0
ADAMS,COLBURN,T,Ward 1,2010,governor,NA,6,24,72,Scattering,Scattering,0
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Democratic,Tom Barrett / Tom Nelson,224
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Republican,Scott Walker / Rebecca Kleefisch,281
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Libertarian,Terry Virgil,4
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Independent,James James,4
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Independent 2,Jim Langer,5
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Write-in 2,Leslie Ervin Smetak / David Myron Smetak,0
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Write-in 3,Patricia Messicci,0
ADAMS,DELL PRAIRIE,T,Wards 1 & 2,2010,governor,NA,6,14,42,Write-in,Hari Trivedi,0
