county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
ADAMS,ADAMS,T,Wards 1-3,2012,governor,0,Republican,Scott Walker,280
ADAMS,ADAMS,T,Wards 1-3,2012,governor,0,Democratic,Tom Barrett,239
ADAMS,ADAMS,T,Wards 1-3,2012,governor,0,Independent,Hari Trivedi,6
ADAMS,ADAMS,T,Wards 1-3,2012,governor,0,Scattering,Scattering,0
ADAMS,BIG FLATS,T,WARDS 1 & 2,2012,governor,0,Republican,Scott Walker,215
ADAMS,BIG FLATS,T,WARDS 1 & 2,2012,governor,0,Democratic,Tom Barrett,168
ADAMS,BIG FLATS,T,WARDS 1 & 2,2012,governor,0,Independent,Hari Trivedi,6
ADAMS,BIG FLATS,T,WARDS 1 & 2,2012,governor,0,Scattering,Scattering,1
ADAMS,COLBURN,T,WARD 1,2012,governor,0,Republican,Scott Walker,60
ADAMS,COLBURN,T,WARD 1,2012,governor,0,Democratic,Tom Barrett,46
ADAMS,COLBURN,T,WARD 1,2012,governor,0,Independent,Hari Trivedi,1
ADAMS,COLBURN,T,WARD 1,2012,governor,0,Scattering,Scattering,0
ADAMS,DELL PRAIRIE,T,WARDS 1-3,2012,governor,0,Republican,Scott Walker,387
ADAMS,DELL PRAIRIE,T,WARDS 1-3,2012,governor,0,Democratic,Tom Barrett,277
ADAMS,DELL PRAIRIE,T,WARDS 1-3,2012,governor,0,Independent,Hari Trivedi,6
ADAMS,DELL PRAIRIE,T,WARDS 1-3,2012,governor,0,Scattering,Scattering,0
ADAMS,EASTON,T,WARDS 1 & 2,2012,governor,0,Republican,Scott Walker,204
ADAMS,EASTON,T,WARDS 1 & 2,2012,governor,0,Democratic,Tom Barrett,175
ADAMS,EASTON,T,WARDS 1 & 2,2012,governor,0,Independent,Hari Trivedi,8
ADAMS,EASTON,T,WARDS 1 & 2,2012,governor,0,Scattering,Scattering,0
ADAMS,JACKSON,T,WARDS 1 & 2,2012,governor,0,Republican,Scott Walker,263
