county,municipality,ctv,reporting_unit,year,office,district,wss_dist,con_dist,wsa_dist,party,candidate,votes
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Republican,Donald Trump / Mike Pence,377
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Democratic,Hillary Clinton / Tim Kaine,207
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Constitution,Darrell L Caste / Scott N Bradley,3
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Libertarian,Gary Johnson / Bill Weld,22
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Wisconsin Green,Jill Stein / Ajamu Baraka,4
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Workers World Party,Monica Moorehead / Lamont Lilly,1
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 2,Evan McMullin / Nathan Johnson,3
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 5,Chris Keniston / Deacon Taylor,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 6,Laurence Kotlikoff / Edward E Leamer,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 7,Tom Hoefling / Steve Schulin,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 8,Joseph Maldonado,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Write-in 9,Emidio Soltysik / Angela Nicole Walker,0
ADAMS,ADAMS,T,Wards 1-3,2016,president,NA,14,3,41,Scattering,Scattering,1
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Republican,Donald Trump / Mike Pence,300
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Democratic,Hillary Clinton / Tim Kaine,169
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Constitution,Darrell L Caste / Scott N Bradley,4
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Libertarian,Gary Johnson / Bill Weld,10
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Wisconsin Green,Jill Stein / Ajamu Baraka,4
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Workers World Party,Monica Moorehead / Lamont Lilly,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 2,Evan McMullin / Nathan Johnson,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 5,Chris Keniston / Deacon Taylor,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 6,Laurence Kotlikoff / Edward E Leamer,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 7,Tom Hoefling / Steve Schulin,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 8,Joseph Maldonado,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Write-in 9,Emidio Soltysik / Angela Nicole Walker,0
ADAMS,BIG FLATS,T,Ward 1-2,2016,president,NA,24,3,72,Scattering,Scattering,3
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Republican,Donald Trump / Mike Pence,85
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Democratic,Hillary Clinton / Tim Kaine,42
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Constitution,Darrell L Caste / Scott N Bradley,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Libertarian,Gary Johnson / Bill Weld,1
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Wisconsin Green,Jill Stein / Ajamu Baraka,2
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Workers World Party,Monica Moorehead / Lamont Lilly,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 2,Evan McMullin / Nathan Johnson,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 5,Chris Keniston / Deacon Taylor,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 6,Laurence Kotlikoff / Edward E Leamer,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 7,Tom Hoefling / Steve Schulin,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 8,Joseph Maldonado,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Write-in 9,Emidio Soltysik / Angela Nicole Walker,0
ADAMS,COLBURN,T,Ward 1,2016,president,NA,24,3,72,Scattering,Scattering,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Republican,Donald Trump / Mike Pence,474
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Democratic,Hillary Clinton / Tim Kaine,301
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Constitution,Darrell L Caste / Scott N Bradley,3
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Libertarian,Gary Johnson / Bill Weld,27
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Wisconsin Green,Jill Stein / Ajamu Baraka,10
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Workers World Party,Monica Moorehead / Lamont Lilly,1
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 2,Evan McMullin / Nathan Johnson,1
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 5,Chris Keniston / Deacon Taylor,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 6,Laurence Kotlikoff / Edward E Leamer,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 7,Tom Hoefling / Steve Schulin,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 8,Joseph Maldonado,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Write-in 9,Emidio Soltysik / Angela Nicole Walker,0
ADAMS,DELL PRAIRIE,T,Ward 1-3,2016,president,NA,14,3,41,Scattering,Scattering,3
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Republican,Donald Trump / Mike Pence,336
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Democratic,Hillary Clinton / Tim Kaine,169
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Constitution,Darrell L Caste / Scott N Bradley,6
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Libertarian,Gary Johnson / Bill Weld,6
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Wisconsin Green,Jill Stein / Ajamu Baraka,1
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Workers World Party,Monica Moorehead / Lamont Lilly,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 2,Evan McMullin / Nathan Johnson,1
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 5,Chris Keniston / Deacon Taylor,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 6,Laurence Kotlikoff / Edward E Leamer,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 7,Tom Hoefling / Steve Schulin,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 8,Joseph Maldonado,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Write-in 9,Emidio Soltysik / Angela Nicole Walker,0
ADAMS,EASTON,T,Wards 1-2,2016,president,NA,14,3,41,Scattering,Scattering,3
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Republican,Donald Trump / Mike Pence,314
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Democratic,Hillary Clinton / Tim Kaine,225
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Constitution,Darrell L Caste / Scott N Bradley,0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Libertarian,Gary Johnson / Bill Weld,15
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Wisconsin Green,Jill Stein / Ajamu Baraka,3
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Workers World Party,Monica Moorehead / Lamont Lilly,0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,American Delta Party,Rocky Roque De La Fuente / Michael Steinberg,0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Write-in,Cherunda Fox / Roger Kushner,0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Write-in 2,Evan McMullin / Nathan Johnson,3
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Write-in 3,Michael A Maturen / Juan Munoz,0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Write-in 4,"Marshall Schoenke / James Creighton Mitchell, Jr",0
ADAMS,JACKSON,T,Ward 1-2,2016,president,NA,14,3,41,Write-in 5,Chris Keniston / Deacon Taylor,0
